JGI Portal Name	Strain	T3PKS hits	NCBI taxid	Superkingdom	Phylum	Class	Order	Family	Genus	Species	Reference (Pubmed IDs)
Amal3064	Alternaria mali BMP3064	1	167741	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria mali	NA
Amamu1	Amanita muscaria Koide v1.0	0	41956	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita muscaria	25706625
Amarub1	Amanita rubescens P?ilba v1.0	0	71933	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita rubescens	33046698
Amath1	Amanita thiersii Skay4041 v1.0	0	703135	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita thiersii	24923322;25407890
Ambph1	Ambrosiozyma philentoma NRRL Y-7523	0	43984	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	NA	Ambrosiozyma	Ambrosiozyma philentoma	29760453
Amnli1	Amniculicola lignicola CBS 123094 v1.0	0	1392246	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Amniculicolaceae	Amniculicola	Amniculicola lignicola	32206138
Amore1	Amorphotheca resinae v1.0	1	5101	Eukaryota	Ascomycota	Leotiomycetes	NA	Myxotrichaceae	Amorphotheca	Amorphotheca resinae	29315638
Ampqui1	Ampelomyces quisqualis HMLAC05119 v1.0	1	50730	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Ampelomyces	Ampelomyces quisqualis	32206138
AmpWSBS2006_1	Amphiamblys sp. WSBS2006	0	1866961	Eukaryota	Microsporidia	NA	NA	Amphiacanthidae	Amphiamblys	Amphiamblys sp. WSBS2006	27694476
Amycha1	Amylostereum chailletii DWAch2 v1.0	0	55340	Eukaryota	Basidiomycota	Agaricomycetes	Russulales	Stereaceae	Amylostereum	Amylostereum chailletii	34861049
Amyenc1	Amylocarpus encephaloides TRa018bII v1.0	1	45428	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	NA	Amylocarpus	Amylocarpus encephaloides	34372938
Amylap1_1	Amylocystis lapponica SKaAmylap13 v1.0	0	202700	Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Dacryobolaceae	Amylocystis	Amylocystis lapponica	33538380
Amyrou1	Amylomyces rouxii NRRL 5866 v1.0	0	29923	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Amylomyces	Amylomyces rouxii	NA
Amysub1	Amylocorticium subincarnatum OMC1654 v1.0	0	264088	Eukaryota	Basidiomycota	Agaricomycetes	Amylocorticiales	Amylocorticiaceae	Amylocorticium	Amylocorticium subincarnatum	NA
Anasp1	Anaeromyces robustus v1.0	0	1754192	Eukaryota	Chytridiomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Anaeromyces	Anaeromyces robustus	28555641;28481340
AnFL0455	Annulohypoxylon sp. FL0455 v1.0	1	2789220	Eukaryota	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Annulohypoxylon	Annulohypoxylon sp. FL0455	NA
Annbov1	Annulohypoxylon bovei var. microspora CBS 124037 v1.0	1	326616	Eukaryota	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Annulohypoxylon	Annulohypoxylon bovei	34797921
Annmae1	Annulohypoxylon maeteangense CBS 123835 v1.0	1	1927788	Eukaryota	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Annulohypoxylon	Annulohypoxylon maeteangense	34797921
Annmin1	Annulohypoxylon minutellum CBS 135445 v1.0	1	326621	Eukaryota	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Annulohypoxylon	Annulohypoxylon minutellum	34797921
Annmor1	Annulohypoxylon moriforme CBS 123579 v1.0	1	326622	Eukaryota	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Annulohypoxylon	Annulohypoxylon moriforme	34797921
Annnit1	Annulohypoxylon nitens CBS 120705 v1.0	1	326626	Eukaryota	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Annulohypoxylon	Annulohypoxylon nitens	34797921
Annsty1	Annulohypoxylon stygium FL0470 v1.0	1	326628	Eukaryota	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Annulohypoxylon	Annulohypoxylon stygium	34797921
Anntru1	Annulohypoxylon truncatum CBS 140777 v1.0	1	327061	Eukaryota	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Annulohypoxylon	Annulohypoxylon truncatum	34797921
Anoalb1	Anomoloma albolutescens OMC1655 v1.0	0	693288	Eukaryota	Basidiomycota	Agaricomycetes	Amylocorticiales	Amylocorticiaceae	Anomoloma	Anomoloma albolutescens	NA
Anobom1	Anomoporia bombycina ATCC 64506 v1.0	0	264122	Eukaryota	Basidiomycota	Agaricomycetes	Amylocorticiales	Amylocorticiaceae	Anomoporia	Anomoporia bombycina	NA
Anokam1	Anomoporia kamtschatica OMC1758 v1.0	0	264123	Eukaryota	Basidiomycota	Agaricomycetes	Amylocorticiales	Amylocorticiaceae	Anomoporia	Anomoporia kamtschatica	NA
Anomyc1	Anomoporia myceliosa MJL 4413 v1.0	0	693289	Eukaryota	Basidiomycota	Agaricomycetes	Amylocorticiales	Amylocorticiaceae	Anomoloma	Anomoloma myceliosum	NA
Ant016_1	Antarctomyces sp. UNIPAMPA016 v1.0	1	3127130	Eukaryota	Ascomycota	Leotiomycetes	Thelebolales	Thelebolaceae	Antarctomyces	Antarctomyces sp.	NA
Antav1	Anthostoma avocetta NRRL 3190 v1.0	3	1405086	Eukaryota	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Anthostoma	Anthostoma avocetta	NA
Antcit1	Antrodiella citrinella FBCC 969 v1.0	0	2447956	Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae	Antrodiella	Antrodiella citrinella	NA
Antleu1	Anthostomella leucospermi CBS110126 v1.0	2	531904	Eukaryota	Ascomycota	Sordariomycetes	Xylariales	NA	Anthostomelloides	Anthostomelloides leucospermi	NA
Antlo1	Antonospora locustae HM-2013	0	1284279	Eukaryota	Microsporidia	NA	NA	NA	Antonospora	Antonospora locustae	15186746;18060070
Antser1	Antrodia serialis Sig1Antser10 v1.0	0	139415	Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Antrodia	Antrodia serialis	33538380
Antsi1	Antrodia sinuosa LB1 v1.0	0	1333626	Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Adustoporia	Adustoporia sinuosa	NA
Anttom1	Anthostomella tomicoides 1013 v1.0	2	2789217	Eukaryota	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Anthostomella	Anthostomella tomicoides	NA
Aphpse1	Aphanobasidium pseudotsugae OMC1630 v1.0	0	693291	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Pterulaceae	Aphanobasidium	Aphanobasidium pseudotsugae	NA
Apibac1	Apiosordaria backusii CBS 540.89 v1.0	1	314023	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Apiosordaria	Apiosordaria backusii	NA
Apimo1	Apiospora montagnei NRRL 25634 v1.0	2	335852	Eukaryota	Ascomycota	Sordariomycetes	Xylariales	Apiosporaceae	Arthrinium	Arthrinium arundinis	NA
Aplpr1	Aplosporella prunicola CBS 121.167 v1.0	0	462254	Eukaryota	Ascomycota	Dothideomycetes	Botryosphaeriales	Aplosporellaceae	Aplosporella	Aplosporella prunicola	32206138
Apope1	Apodospora peruviana CBS 118394 v1.0	1	516989	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Apodospora	Apodospora peruviana	NA
Armbor1	Armillaria borealis FPL87.14 v1.0	0	47425	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	Armillaria borealis	NA
Armcep1	Armillaria cepistipes B5	0	47426	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	Armillaria cepistipes	29085064
Armect1	Armillaria ectypa FPL83.16 v1.0	0	47430	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	NA	Desarmillaria	Desarmillaria ectypa	NA
Armfum1	Armillaria fumosa CBS 122221 v1.0	0	153910	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	Armillaria fumosa	NA
Armga1	Armillaria gallica 21-2 v1.0	0	47427	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	Armillaria gallica	29085064
Armlut1	Armillaria luteobubalina HWK02 v1.0	0	153913	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	Armillaria luteobubalina	NA
Armme1_1	Armillaria mellea DSM 3731	1	1314977	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	Armillaria mellea	23656496
Armmel1	Armillaria mellea ELDO17 v1.0	0	47429	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	Armillaria mellea	NA
Armnab1	Armillaria nabsnona CMW6904 v1.0	0	64368	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	Armillaria nabsnona	NA
Armnov1	Armillaria novae-zelandiae 2840 v1.0	0	153914	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	Armillaria novae-zelandiae	NA
Armost1	Armillaria solidipes 28-4 v1.0	0	1076256	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	Armillaria solidipes	29085064
Armosto1	Armillaria ostoyae C18/9	0	47428	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	Armillaria ostoyae	29085064
Armtab1	Armillaria tabescens CCBAS 213 v1.0	0	47431	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	Armillaria tabescens	NA
Artbe1	Arthroderma benhamiae CBS 112371	1	663331	Eukaryota	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton benhamiae	21247460
Artel1	Artolenzites elegans CIRM-BRFM 1663 v1.0	0	526244	Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes elegans	NA
Artele1122_1	Artolenzites elegans CIRM-BRFM 1122 v1.0	0	526244	Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes elegans	33538380
Artesp1	Arthrinium esporlense UNIPAMPA010 v1.0	1	2421358	Eukaryota	Ascomycota	Sordariomycetes	Xylariales	Apiosporaceae	Apiospora	Apiospora esporlensis	NA
Artfe1_2	Arthroascus fermentans 17710 v1.0	0	53486	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycopsidaceae	Saccharomycopsis	Saccharomycopsis fermentans	NA
Artol1	Arthrobotrys oligospora ATCC 24927	1	756982	Eukaryota	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbilia	Orbilia oligospora	21909256
Arxad1	Blastobotrys (Arxula) adeninivorans	0	1401090	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Blastobotrys	Blastobotrys adeninivorans	24834124
Ascap1	Ascosphaera apis ARSEF 7405	0	392613	Eukaryota	Ascomycota	Eurotiomycetes	Onygenales	Ascosphaeraceae	Ascosphaera	Ascosphaera apis	27071652
Ascim1	Ascobolus immersus RN42 v1.0	1	5191	Eukaryota	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus	Ascobolus immersus	30420746
Ascni1	Ascodesmis nigricans CBS 389.68 v1.0	0	341454	Eukaryota	Ascomycota	Pezizomycetes	Pezizales	Ascodesmidaceae	Ascodesmis	Ascodesmis nigricans	31604798
Ascra1	Ascochyta rabiei ArDII	1	5454	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Ascochyta	Ascochyta rabiei	27091329
Ascru1	Ascoidea rubescens NRRL Y17699 v1.0	0	54195	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Ascoideaceae	Ascoidea	Ascoidea rubescens	27535936
Ascsa1	Ascocoryne sarcoides NRRL50072	1	1016881	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Gelatinodiscaceae	Ascocoryne	Ascocoryne sarcoides	22396667
Ashgo1_1	Eremothecium gossypii ATCC 10895	0	284811	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Eremothecium	Eremothecium gossypii	15001715
Aspac1	Aspergillus aculeatus ATCC16872 v1.1	1	5053	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus aculeatus	28196534
Aspacri1	Aspergillus acristatulus CBS 119.55 v1.0	0	286159	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus nidulans	NA
Aspacu1	Aspergillus aculeatinus CBS 121060 v1.0	1	487661	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus aculeatinus	30349117
Aspaff1	Aspergillus affinis CBS 129190 v1.0	1	1070780	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus affinis	NA
Aspala1	Aspergillus alabamensis v1.0	0	657433	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus alabamensis	NA
Aspalbe1	Aspergillus albertensis v1.0	2	209559	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus alliaceus	32107379
Aspall1	Aspergillus allahabadii v1.0	0	1612426	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus allahabadii	NA
Aspalli1	Aspergillus alliaceus CBS 536.65 v1.0	2	209559	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus alliaceus	32107379
Aspamb1	Aspergillus ambiguus v1.0	0	176160	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus ambiguus	NA
Aspamoe1	Aspergillus amoeneus CBS 111.32 v1.0	0	1220191	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus amoenus	NA
Aspamy1	Aspergillus amylovorus CBS 600.67 v1.0	1	176161	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus amylovorus	NA
Aspang1	Aspergillus angustatus CBS 273.65 v1.0	0	5052	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus angustatus 	NA
Aspara19utr	Aspergillus arachidicola v1.0	4	656916	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus arachidicola	32107379
Asparx1	Aspergillus arxii CBS 52583 v1.0	1	1131534	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus arxii	NA
Aspass1	Aspergillus assulatus CBS 27911 v1.0	1	1245746	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus assulatus	NA
Aspaste1	Aspergillus astellatus v1.0	1	1810904	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus astellatus	NA
Aspaur1	Aspergillus aureoterreus v1.0	0	41288	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus aureoterreus	NA
Aspaura1	Aspergillus aurantiobrunneus CBS 465.65 v1.0	0	41725	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus aurantiobrunneus	NA
Aspaurful1	Aspergillus aureofulgens IBT 27100 v1.0	2	41903	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus luppiae	NA
Aspaurlat1	Aspergillus aureolatus CBS 190.65 v1.0	0	41755	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus aureolatus	NA
Aspaurlut1	Aspergillus aureoluteus CBS 105.55 v1.0	1	5052	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA	NA
Aspave1	Aspergillus avenaceus IBT 18842 v1.0	1	36643	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus avenaceus	32107379
Aspber1	Aspergillus bertholletius IBT 29228 v1.0	2	1226010	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus bertholletiae	32107379
Aspbip1	Aspergillus biplanus CBS 468.65 v1.0	2	176164	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus biplanus	NA
Aspbisp1	Aspergillus bisporus CBS 707.71 v1.0	0	41753	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus bisporus	NA
Aspbom1	Aspergillus bombycis NRRL 26010	4	109264	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus bombycis	27664179
Aspbot1	Aspergillus botucatensis CBS 114221 v1.0	0	1907480	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus botucatensis	NA
Aspbr1	Aspergillus brasiliensis v1.0	1	767769	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus brasiliensis	28196534
Aspbre1	Aspergillus brevipes CBS 118.53 v1.0	0	75551	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus brevipes	NA
Aspbrev1	Aspergillus brevijanus CBS 111.46 v1.0	2	176172	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus brevijanus	NA
